1992/4/28,F-1 GRAND PRIX,ビデオシステム,9700
1992/4/28,スーパー上海ドラゴンズアイ,ホット・ビィ,7800
1992/5/1,バトルブレイズ,サミー,8700
1992/5/23,甲竜伝説ヴィルガスト 消えた少女,バンダイ,9000
1992/5/29,マジックソード,カプコン,8500
1992/5/29,斬IIスピリッツ,ウルフ・チーム,9800
1992/6/10,ストリートファイターII,カプコン,9800
1992/6/19,スーパーダンクショット,HAL研究所,8600
1992/6/19,スーパー将棋,アイマックス,8800
1992/6/26,キャメルトライ,タイトー,8500
1992/6/26,横山光輝 三国志,エンジェル,9500
1992/6/26,甲子園2,ケイアミューズメントリース,8900
1992/6/26,アストラルバウト,キングレコード,9030
1992/7/3,パロディウスだ! 〜神話からお笑いへ〜,コナミ,8500
1992/7/3,PGAツアーゴルフ,イマジニア,8500
1992/7/3,スーパーボウリング,アテナ,8300
1992/7/3,ライトファンタジー,トンキンハウス,8900
1992/7/3,スーパーオフロード,パックインビデオ,6900
1992/7/3,プリンス・オブ・ペルシャ,日本コンピュータシステム,8800
1992/7/10,ゆうゆのクイズでGO!GO!,タイトー,8500
1992/7/10,北斗の拳5 天魔流星伝 哀絶章,東映動画,8900
1992/7/14,マリオペイント,任天堂,9800
1992/7/14,鈴木亜久里のF1スーパードライビング,ロジーク,8800
1992/7/17,キャプテン翼III 皇帝の挑戦,テクモ,9700
1992/7/17,ダイナウォーズ,アイレム,8800
1992/7/17,フック,エピックソニーレコード,8500
1992/7/17,パチンコウォーズ,ココナッツジャパンエンターテイメント,9500
1992/7/23,サンドラの大冒険 ワルキューレとの出逢い,ナムコ,8300
1992/7/24,アースライト,ハドソン,8500
1992/7/24,サイバリオン,東芝EMI,8600
1992/7/24,ブレイゾン,アトラス,8800
1992/7/24,ウルティメイトフットボール,サミー,8700
1992/7/24,T.M.N.T. タートルズ イン タイム,コナミ,8800
1992/7/24,スーパーF1サーカス,日本物産,8800
1992/7/28,3×3EYES 聖魔降臨伝,ユタカ,9500
1992/7/31,キング・オブ・ザ・モンスターズ,タカラ,8800
1992/7/31,飛龍の拳Sゴールデンファイター,カルチャーブレーン,9700
1992/7/31,炎の闘球児 ドッジ弾平,サンソフト,8500
1992/7/31,機甲警察メタルジャック,アトラス,8800
1992/8/5,スーパー大航海時代,光栄,11800
1992/8/7,スーパー桃太郎電鉄II,ハドソン,8800
1992/8/7,スーパーパン,カプコン,7500
1992/8/7,スーパープロフェッショナルベースボールII,ジャレコ,9000
1992/8/7,スピンディジーワールド,アスキー,8800
1992/8/7,ファランクス,コトブキシステム,8900
1992/8/7,初代熱血硬派くにおくん,テクノスジャパン,8900
1992/8/7,パイプドリーム,BPS,7500
1992/8/11,ホーム・アローン,アルトロン,8800
1992/8/21,キン肉マン DIRTY CHALLENGER,ユタカ,7800
